I,Q
-0.42574,0.60446
-0.76154,-0.55955
-0.41712,-0.36014
-0.59827,-0.19566
-0.80446,-1.3538
-0.78978,-0.79288
-1.0443,0.31673
0.28168,-0.64471
0.41737,-0.36186
-0.53146,-0.062674
0.38668,-0.12785
0.51049,0.49744
-0.031929,0.2571
-0.47659,1.1772
-0.36728,1.2837
0.48179,-0.78791
0.22213,-0.6555
-0.58318,-0.528
-1.3978,-0.71602
-1.1732,0.80843
-0.17569,0.55799
-0.10929,0.11001
0.065974,0.37054
1.2565,0.14629
0.16591,-0.14426
-1.093,-0.58451
-0.49103,-0.57372
-0.69875,0.96146
0.1716,1.475
-0.44044,0.30665
-1.01,0.39763
0.51339,0.67593
0.50775,-0.98781
0.63568,-1.1328
0.56516,0.22376
0.76056,0.069369
1.3797,-0.38444
0.57469,-0.21025
-0.23298,-0.097332
-1.2819,-0.1381
-1.0814,0.086722
-0.35613,0.46865
-0.77102,-0.63332
-0.71544,-1.2516
-0.49067,0.37726
0.74812,0.50125
0.90229,-0.087491
-0.0027848,1.2219
0.74954,1.2448
0.45181,-0.23689
0.71732,-0.79835
0.46813,-0.31837
-1.3033,0.23676
-0.24822,0.34916
0.32901,0.10329
0.50633,-0.0094726
1.1688,0.066176
0.45451,-0.093178
-0.28595,-0.24516
-0.53318,-0.91846
0.84467,-1.2566
1.4785,-0.38893
0.0096086,0.19241
0.15449,0.18555
0.45337,0.36369
0.68713,-0.13924
1.052,-0.36189
-0.26224,-0.19245
0.26083,-0.52563
1.4455,0.70746
-0.36979,1.6883
-0.9354,0.088504
0.20106,-0.55981
-0.77927,0.13817
-0.98157,0.19079
-0.16945,0.49526
-0.080558,0.3747
0.26259,0.071617
-0.91184,0.44058
-1.6966,-0.29751
-0.40939,-1.1161
0.19257,-0.5088
-0.18663,-0.061858
-0.75423,0.55789
-0.61099,0.40294
-0.16751,0.10061
0.10149,0.34363
1.2613,-0.33946
0.070632,-0.11608
-1.2363,-0.10212
-0.60625,-0.3287
-0.3022,1.0988
0.71215,1.3414
-0.31498,0.41335
-0.79241,0.7752
0.62581,0.45728
0.096985,-1.0967
0.12013,-1.3347
0.64241,-0.016591
0.78278,-0.16911
1.1365,-0.81597
0.32499,-0.56934
-0.48137,-0.37761
-0.82949,-0.75422
-0.16169,-0.66826
0.027103,-0.40515
-0.23893,-0.26096
-0.83646,0.020869
-0.12674,-0.0013362
1.6581,0.049949
0.27436,0.0079838
-0.7675,0.43658
0.37242,0.52399
-0.18843,0.11228
-0.38252,0.088357
0.20115,0.38079
-0.024453,0.64132
-0.57054,-0.58299
-0.46296,-1.0844
0.46018,0.081314
0.43307,0.48503
0.18192,-0.13076
0.2418,-0.34446
0.28121,0.58474
0.72997,-0.14702
0.21824,-0.26404
-0.67257,1.4231
-0.24434,0.48707
0.39306,-0.76228
0.017324,-0.34107
-0.35845,-0.16185
-0.47796,-0.26383
-0.39037,-0.95891
-0.13063,-0.7869
-0.6536,-0.54658
-0.89858,0.42946
-0.25555,1.8031
0.16789,0.86368
0.64091,0.28692
0.26813,0.56154
-0.34452,0.27496
-0.65936,1.258
-0.84535,0.12806
0.18639,-0.35425
0.39267,0.8279
-0.3905,-0.21518
0.21056,-0.0033192
0.19111,0.93373
-1.3377,0.6099
-1.6413,-0.018557
-0.36349,-1.3694
0.5473,-1.5312
0.93851,-0.22091
0.41026,0.39834
-0.41778,-0.37096
0.68216,0.12158
0.11676,0.3853
-0.38236,-0.694
1.2017,-0.78336
0.56078,-0.40162
0.4113,0.002712
0.39631,0.64887
0.36002,0.29113
1.7332,-0.046085
1.0248,-0.73266
-0.33276,-0.95707
-0.65823,-0.28032
-1.0113,-0.39341
-0.43195,-0.50519
-0.1694,-0.34934
-0.30682,-0.1375
-0.75902,0.31951
-0.084157,0.019712
1.528,-0.60125
0.22388,-0.062748
-0.54018,0.67843
0.57118,0.28724
-0.15207,0.23175
-0.41882,0.20686
0.31653,0.36127
0.24824,0.56168
-0.52148,0.075317
0.061031,-0.14859
0.14326,-0.2184
-0.15722,0.071613
0.78212,0.73983
0.15794,1.5113
0.025499,-0.22451
0.14306,-1.1563
-1.0724,-0.53877
-0.4547,-0.39712
0.56702,0.90675
0.1613,0.77253
0.63798,-0.42743
1.1352,-0.036784
0.26101,-0.031323
-0.32376,-0.36689
0.34868,0.057664
0.47877,0.30985
-0.37007,-0.014773
-0.18675,0.026635
0.56732,0.75632
0.056479,1.0153
0.37632,-0.023813
1.2772,-0.21806
0.019614,0.031658
-1.0489,-0.76062
-0.98259,0.25827
-0.60893,0.61876
0.91877,-0.66989
1.3495,0.18036
0.27096,-0.0063059
-0.1915,-0.020309
0.27381,0.50321
0.74774,-0.61771
-0.12297,0.065856
-0.66248,0.24272
0.74324,-0.45517
1.7574,0.10625
0.35887,0.69798
-0.97414,1.416
-0.19153,0.7033
-0.095983,-0.33747
-0.18418,0.14206
0.39175,-0.6527
-0.45981,-0.94191
-0.81496,-0.78114
-0.5127,-0.90333
-1.0325,-1.132
-0.2214,-0.85684
-0.26297,0.43093
-1.4812,0.38328
-1.1244,0.28241
-0.98149,0.2423
-1.1329,0.16942
-0.2843,0.90059
-0.031225,-0.063794
-0.36044,0.027406
0.091388,-0.196
0.18316,-1.7259
0.48135,-0.8986
1.3926,0.71665
0.70877,1.0691
-0.42613,-0.13783
-0.2214,-0.48011
